PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
3316,2150892504,87.70400238,75.77639771,127.4680481,-19.83498764,6.027810097,-4.725260735,-114.5842972,-261.2771606,187.2058411
3317,2150909171,73.63599396,72.12605286,114.9638596,-20.64068985,1.675486088,-8.081262589,-121.0494232,-238.8102417,183.2486725
3318,2150925838,65.91705322,67.90270996,107.7454834,-18.96141434,2.138168812,-9.972969055,-54.38862228,-225.4745941,188.1292267
3319,2150942505,61.60763931,64.28512573,103.6620178,-18.11417198,-0.643590689,-9.05755806,-33.08943939,-184.1786041,152.6455536
3320,2150959172,59.3555069,61.6055336,101.1155319,-15.99603176,-4.721428871,-13.22355938,2.312348127,-138.920166,107.6166153
3321,2150975839,58.57459641,59.56147766,99.28276825,-12.98483467,-9.311105728,-21.03174782,50.26076889,-108.7856216,79.23317719
3322,2150992506,58.46659851,58.41329575,97.25576782,-7.207608223,-12.2816515,-23.67476463,99.05187225,-88.73836517,28.06195068
3323,2151009173,59.35083389,58.40688705,96.89834595,-4.719776154,-7.590977669,-12.86342239,72.59468079,-9.190374374,-3.40408802
3324,2151025840,62.4871254,60.04573822,99.62727356,-9.521014214,-1.643431544,-11.09943962,48.73716736,121.5979843,-43.10977936
3325,2151042507,64.74674988,61.45107651,101.6910172,-14.08793163,-0.665114105,-11.43470097,28.78791237,92.24968719,-46.54265976
3326,2151059174,65.1594696,62.59324646,102.5366287,-14.13313961,2.2473557,-0.267535299,-18.79461861,51.1366539,-49.90199661
3327,2151075841,64.79685974,62.55609131,100.7762375,-12.64300919,10.37786674,16.20378304,73.2460022,-44.46465683,-16.44446564
3328,2151092508,65.9728241,63.84046173,104.1821747,-3.85469079,8.313269615,22.65900421,-110.5901489,116.4417648,-29.55173874
3329,2151109175,72.00557709,67.01433563,114.4636841,-11.31327534,-14.35129833,-13.10147572,-198.1037903,307.9313965,-83.13994598
3330,2151125842,77.8408432,67.09587097,117.4604034,-25.04571342,-4.513039589,-12.82928371,185.7908936,69.56587982,15.62618351
3331,2151142509,79.42790985,66.29227448,117.2223587,-4.907927513,15.6278429,-1.18539536,109.5882797,-14.4531498,48.297966
3332,2151159176,83.11804199,67.21963501,123.4902878,-13.75275135,10.2967577,-3.686179161,-122.9272461,155.6620331,-30.29493141
3333,2151175843,82.71865082,67.70427704,123.3351212,-7.269118786,-1.341979504,-1.839457273,-14.10879517,0.624683022,-27.19817543
3334,2151192510,85.09605408,67.94525909,126.0540543,-8.295173645,3.473208666,2.029706478,-7.174277782,63.33387756,-5.733337879
3335,2151209177,87.42633057,68.31182098,128.1114197,-10.18698978,1.852711558,-1.620633125,26.5146637,47.90782166,-16.84187126
3336,2151225844,89.26331329,68.41833496,129.7584991,-9.189528465,2.663948774,0.512465656,19.60925674,37.1912117,-3.234142303
3337,2151242511,91.15081024,68.52957153,131.6225586,-10.42614937,4.534895897,-1.257317543,10.46584129,41.60495758,-4.715348721
3338,2151259178,91.88736725,68.65455627,132.4929047,-10.06758499,3.908434629,-1.147033811,-3.165458679,19.44967079,-5.89977169
3339,2151275845,92.85844421,68.79392242,133.3563995,-9.265760422,3.18157196,-0.226594031,11.24395847,19.03237152,-7.036443233
3340,2151292512,93.93758392,68.9355011,134.1302338,-9.017272949,3.687602997,0.048398588,22.70416641,16.80778503,-7.374860287
3341,2151309179,95.3114624,69.12751007,135.2722931,-8.938229561,3.986133575,0.168330789,19.70956039,24.11740685,-11.36253452
3342,2151325846,96.80493164,69.4000473,136.5949402,-8.749733925,4.155009747,-0.12101908,16.65634918,26.8232193,-17.1313858
3343,2151342513,98.50231171,69.72142792,138.0837097,-8.681476593,3.485569477,-0.662153482,19.4083786,28.95776558,-21.17358589
3344,2151359180,100.3608475,70.04679108,139.5749969,-8.534791946,3.698841333,-0.275249183,28.76085091,27.7707634,-22.21012115
3345,2151375847,102.5375214,70.3535614,141.4680786,-8.702692032,3.485777617,-0.272727847,25.00007248,34.6714325,-23.58849907
3346,2151392514,104.8816071,70.625,143.592865,-9.272060394,3.095734119,-1.105706453,21.74946022,38.12302399,-23.8258934
3347,2151409181,107.1305923,70.88764191,145.591507,-9.28802681,3.10837698,-1.13210845,22.99508667,34.26923752,-23.95585823
3348,2151425848,109.427948,71.11808777,147.624054,-9.196051598,3.148440361,-1.230473399,23.80706596,33.98067856,-23.4951992
3349,2151442515,111.8432159,71.31665802,149.7368164,-9.383569717,3.178025246,-1.294292808,26.17630196,34.62431717,-23.44854736
3350,2151459182,114.142662,71.46988678,151.8157959,-9.568415642,3.111051321,-1.342920542,21.02447701,33.67369461,-21.92807961
3351,2151475849,116.4194794,71.58644104,153.9315948,-9.549324989,2.761914492,-1.483827829,17.48078728,34.01174545,-21.42025948
3352,2151492516,118.6380768,71.66314697,155.9903564,-9.427984238,2.598256111,-1.80320096,17.17013168,33.03824997,-19.99938583
3353,2151509183,120.8318253,71.71854401,157.9792633,-9.175603867,2.648471832,-1.762594938,19.61445236,31.5362339,-19.40329552
3354,2151525850,123.1249695,71.74666595,160.0207825,-9.118228912,2.782090664,-1.700567007,22.5517292,32.31080627,-19.68659973
3355,2151542517,125.5187683,71.77048492,162.1422729,-9.432211876,2.918732643,-1.793930292,24.01676178,32.7382164,-21.5675869
3356,2151559184,128.0853882,71.78886414,164.4194336,-9.191658974,2.948862553,-1.853036165,25.50168037,34.18590164,-24.40080643
3357,2151575851,131.0181122,71.76222229,166.9975128,-9.193948746,3.190750837,-1.734462261,30.3251667,38.96054459,-27.49661636
3358,2151592518,134.2097168,71.7009964,169.9034119,-9.399303436,3.169348955,-1.95349884,27.21144676,43.34777451,-32.23132324
3359,2151609185,137.6411743,71.61326599,173.0865326,-9.515296936,2.86397934,-2.222256899,25.89115524,46.23184586,-37.44749069
3360,2151625852,141.2510681,71.46218872,176.434082,-9.759544373,2.626637459,-1.930940866,27.36733627,48.88253403,-40.36476135
3361,2151642519,145.0589294,71.19649506,179.9506531,-9.985769272,2.090393782,-2.251657486,29.8693676,53.90348434,-42.42416763
3362,2151659186,148.9273376,70.84418488,-176.5720825,-10.39217091,2.236116648,-2.136042118,36.09999847,55.33452606,-43.31980515
3363,2151675853,152.944046,70.41407013,-172.9448547,-10.85688686,1.73385489,-2.126183748,36.97470093,58.26560593,-48.49224472
3364,2151692520,156.988327,69.90222168,-169.437561,-10.78589344,1.740941405,-2.283431053,45.99750137,58.69523239,-49.65735245
3365,2151709187,161.0115967,69.28862,-165.9371643,-11.15227222,1.673009515,-1.760685086,45.83642197,61.26174927,-53.10095596
3366,2151725854,165.1440277,68.49847412,-162.3204193,-11.19540024,1.191650867,-1.706281424,46.78362656,68.74901581,-58.89697647
3367,2151742521,169.2737122,67.49510956,-158.749588,-11.68683529,1.445104361,-1.518549681,50.41602325,77.12856293,-62.88324356
3368,2151759188,173.3839111,66.25396729,-155.218399,-12.81981087,1.974648356,-1.216652155,53.04456329,86.81380463,-68.96512604
3369,2151775855,177.7264709,64.75021362,-151.7239685,-14.57770538,2.585793734,-0.977522612,71.02874756,97.34339142,-77.62449646
3370,2151792522,-177.4371643,62.99471283,-148.3193665,-15.31194019,6.702396393,0.454291552,108.0438919,105.7689896,-88.16145325
3371,2151809189,-172.7967682,60.40340805,-144.9547424,-15.48781395,9.050402641,3.624405622,101.9071732,147.4287872,-106.5499725
3372,2151825856,-168.6263123,56.98695374,-141.7169647,-16.1360817,5.560328484,1.311758757,85.44992065,186.6743317,-130.671875
3373,2151842523,-164.9674225,53.25310516,-139.0190582,-13.06440544,3.424093962,-0.105721474,87.95120239,197.6738739,-139.2762604
3374,2151859190,-162.5715637,48.60754013,-137.3716431,-11.41250801,0.270807117,-5.704908371,68.24221802,250.9585876,-135.7238922
3375,2151875857,-160.4528046,44.16850662,-136.8504639,-12.63013649,5.300801277,-12.6105175,105.7475586,246.5318909,-102.9169083
3376,2151892524,-159.0488892,41.53696442,-136.3114624,-14.59761238,5.671095371,-7.082947254,63.57222366,140.6976929,-74.89605713
3377,2151909191,-158.4048309,40.80826187,-135.465683,-11.02393723,3.503333092,-2.103883505,6.598368168,27.66940689,-49.47281647
3378,2151925858,-156.8515167,40.80789566,-134.4481964,-2.812858105,-3.882742405,-4.456658363,54.665802,-16.77206993,-40.76532364
3379,2151942525,-155.2173004,41.56324005,-134.6080017,-4.062134743,-2.593254089,-0.453553855,105.7236404,-37.69161606,26.98219299
3380,2151959192,-153.7008972,43.52617645,-135.129303,-3.836512089,6.120246887,2.733999491,113.4815063,-95.54360962,73.55062103
3381,2151975859,-153.6768646,45.07661438,-135.3236694,-1.431754351,7.961024284,3.784682512,10.94915771,-78.89234924,50.68222809
3382,2151992526,-154.9787598,46.33622742,-135.6975861,-2.647173405,2.650769711,0.116922654,-60.68024063,-60.5274086,48.82037354
3383,2152009193,-156.6600647,48.08939362,-136.4384918,-4.233205795,1.927507281,-0.20496729,-66.87058258,-82.78703308,72.58724213
3384,2152025860,-158.8300934,50.49587631,-137.3002319,-7.496100426,2.983014584,2.302734613,-89.60932159,-120.0534973,87.84828949
3385,2152042527,-161.3406982,53.56084824,-138.1756287,-7.26427412,2.123043537,0.34881109,-107.8135834,-161.070816,94.98145294
3386,2152059194,-164.3065033,57.08146286,-139.5413208,-8.173324585,1.659342527,-0.641659915,-109.1201248,-187.2101135,108.8802719
3387,2152075861,-167.9291534,61.04794312,-141.6165466,-9.341035843,1.661237359,-1.002476335,-109.0711136,-214.8159943,121.1870499
3388,2152092528,-172.4942627,65.38299561,-144.8287811,-10.32510281,1.166220307,-1.085351467,-100.2913361,-240.6204987,131.7504883
3389,2152109195,-178.7789764,69.76908112,-150.1683655,-10.83332729,1.051406384,-1.495748043,-79.26672363,-251.9868774,143.7951202
3390,2152125862,171.5509338,73.79853058,-159.2166595,-11.9083271,2.414503574,-1.447993279,-62.68608856,-250.40271,155.9977417
3391,2152142529,155.9960785,76.93211365,-173.9611816,-13.41895103,3.720883369,-1.474714041,-75.29067993,-240.5205994,163.9127197
3392,2152159196,133.1607971,78.56690979,164.2514648,-15.36351585,3.963861942,-1.850488067,-90.40013885,-237.5117188,170.8427887
3393,2152175863,108.6084213,78.06036377,140.9736176,-16.58629227,4.873849392,-2.233663559,-103.2206879,-225.0608521,171.755661
3394,2152192530,89.57990265,75.80736542,123.5544205,-18.10718346,4.534574032,-3.548778057,-121.593544,-210.5188446,171.1180267
3395,2152209197,76.87609863,72.73966217,112.3665237,-18.57803345,3.896544456,-4.733940125,-114.284462,-201.2087708,162.4461823
3396,2152225864,69.11693573,69.52988434,106.0212326,-18.05330086,2.437027931,-6.383711338,-103.7047119,-173.1027222,149.8581848
3397,2152242531,63.95204544,66.522789,101.7696686,-17.36655617,0.498999536,-8.8230896,-71.86455536,-158.5490112,129.3477173
3398,2152259198,60.646595,63.77355957,98.62797546,-14.97658348,-2.178588629,-10.59308147,-25.88145447,-146.0204773,111.1423492
3399,2152275865,58.87029648,61.23475647,96.17211151,-12.71246624,-4.979985237,-13.66136932,25.48979759,-134.7335205,99.29355621
3400,2152292532,58.36809158,59.35646057,94.28627777,-8.711594582,-7.674435616,-15.7843647,69.46957397,-105.8404236,69.01679993
3401,2152309199,59.05016327,58.65027618,93.67263031,-5.610295296,-6.374542713,-13.16431808,73.77999115,-37.54046631,28.39626122
3402,2152325866,60.45265961,59.11535645,94.49925995,-7.298623085,-0.736223459,-8.341496468,42.97406006,36.83999634,-9.137724876
3403,2152342533,61.66501236,60.47054672,96.37461853,-8.800392151,-2.270822525,-9.496846199,-23.23068428,89.50841522,-41.68759537
3404,2152359200,62.84906006,61.69286346,98.43148804,-9.230999947,-3.315387964,-8.812586784,-35.71873856,87.55136871,-35.04253387
3405,2152375867,63.9789505,62.65861893,100.3787994,-10.15456963,0.324961454,-5.808813572,-34.27848053,75.28066254,-25.31955338
3406,2152392534,64.94258118,63.52025986,102.2631149,-12.78416348,5.493134022,1.423151016,-41.74596786,69.0253067,-22.48616982
3407,2152409201,64.83896637,63.81899261,101.6453934,-13.9177599,8.270184517,13.97069645,28.26021194,-6.708298683,-21.11880112
3408,2152425868,65.07968903,64.79901123,103.6921539,-4.420689106,5.84073782,24.63715553,-94.9526062,73.71684265,-28.649086
3409,2152442535,71.88744354,67.74865723,114.1526413,-10.02289486,-13.68631744,-10.92887115,-165.1568604,300.0189514,-69.40460205
3410,2152459202,78.42612457,68.08081055,117.9796066,-26.79302597,-6.407962799,-13.87795639,180.7992706,89.17893982,4.958919525
